second,V_supply,V_in,I_other,I_in
+0.0E+00,+2.878661E+00,+669.456E-03,+12.050E-03,+33.473E-03
+7.750E-03,+3.079498E+00,+1.138075E+00,+14.059E-03,+66.946E-03
+15.500E-03,+3.079498E+00,+1.138075E+00,+15.397E-03,+0.0E+00
+23.250E-03,+3.146443E+00,+1.740586E+00,+18.745E-03,+0.0E+00
+31.000E-03,+3.079498E+00,+1.874477E+00,+16.067E-03,+0.0E+00
+38.750E-03,+3.079498E+00,+2.309623E+00,+20.084E-03,+100.418E-03
+46.500E-03,+2.945607E+00,+2.376569E+00,+20.084E-03,+100.418E-03
+54.250E-03,+2.811715E+00,+2.711297E+00,+14.059E-03,+100.418E-03
+62.000E-03,+2.811715E+00,+2.677824E+00,+15.397E-03,+100.418E-03
+69.750E-03,+2.744770E+00,+2.912134E+00,+16.736E-03,+133.891E-03
+77.500E-03,+2.811715E+00,+3.179916E+00,+18.745E-03,+133.891E-03
+85.250E-03,+4.887029E+00,+3.146443E+00,+5.356E-03,+0.0E+00
+93.000E-03,+4.887029E+00,+3.179916E+00,+2.008E-03,+33.473E-03
+100.750E-03,+4.953975E+00,+3.213389E+00,+669E-06,+66.946E-03
+108.500E-03,+4.953975E+00,+3.246862E+00,+2.678E-03,+33.473E-03
+116.250E-03,+4.953975E+00,+3.246862E+00,-0.0E+00,+133.891E-03
+124.000E-03,+4.953975E+00,+3.246862E+00,-2.008E-03,+100.418E-03
+131.750E-03,+5.020920E+00,+3.246862E+00,+669E-06,+66.946E-03
+139.500E-03,+4.953975E+00,+3.246862E+00,-0.0E+00,+66.946E-03
+147.250E-03,+4.953975E+00,+3.280335E+00,-2.008E-03,+66.946E-03
+155.000E-03,+4.953975E+00,+3.246862E+00,-1.339E-03,+66.946E-03
+162.750E-03,+3.882845E+00,+3.280335E+00,-669E-06,+133.891E-03
+170.500E-03,+1.004184E+00,+3.246862E+00,-1.339E-03,+133.891E-03
+178.250E-03,+200.837E-03,+3.213389E+00,-669E-06,+100.418E-03
+186.000E-03,+66.946E-03,+3.246862E+00,-2.008E-03,+100.418E-03
+193.750E-03,+66.946E-03,+3.213389E+00,-669E-06,+133.891E-03
+201.500E-03,+0.0E+00,+3.213389E+00,-1.339E-03,+133.891E-03
+209.250E-03,-0.0E+00,+3.213389E+00,+1.339E-03,+167.364E-03
+217.000E-03,-66.946E-03,+3.213389E+00,-1.339E-03,+133.891E-03
+224.750E-03,+0.0E+00,+3.213389E+00,-0.0E+00,+100.418E-03
+232.500E-03,+0.0E+00,+3.213389E+00,-1.339E-03,+100.418E-03
+240.250E-03,+0.0E+00,+3.213389E+00,-2.008E-03,+100.418E-03
+248.000E-03,+0.0E+00,+3.146443E+00,+1.339E-03,+66.946E-03
+255.751E-03,+0.0E+00,+3.179916E+00,-0.0E+00,+66.946E-03
+263.501E-03,+0.0E+00,+3.179916E+00,-669E-06,+100.418E-03
+271.251E-03,+0.0E+00,+3.146443E+00,-2.008E-03,+100.418E-03
+279.001E-03,+0.0E+00,+3.146443E+00,-1.339E-03,+100.418E-03
+286.751E-03,+0.0E+00,+3.146443E+00,+669E-06,+133.891E-03
+294.501E-03,+0.0E+00,+3.146443E+00,-669E-06,+100.418E-03
+302.251E-03,+0.0E+00,+3.146443E+00,+2.008E-03,+100.418E-03
+310.001E-03,-0.0E+00,+3.112971E+00,-1.339E-03,+33.473E-03
+317.751E-03,-66.946E-03,+3.112971E+00,+669E-06,+100.418E-03
+325.501E-03,+0.0E+00,+3.146443E+00,-0.0E+00,+100.418E-03
+333.251E-03,+0.0E+00,+3.112971E+00,-2.008E-03,+66.946E-03
+341.001E-03,+0.0E+00,+3.112971E+00,-1.339E-03,+66.946E-03
+348.751E-03,-0.0E+00,+3.079498E+00,-1.339E-03,+133.891E-03
+356.501E-03,-66.946E-03,+3.079498E+00,+1.339E-03,+100.418E-03
+364.251E-03,-0.0E+00,+3.112971E+00,-2.008E-03,+100.418E-03
+372.001E-03,-66.946E-03,+3.079498E+00,-1.339E-03,+100.418E-03
+379.751E-03,-133.891E-03,+3.079498E+00,-669E-06,+66.946E-03
+387.501E-03,-66.946E-03,+3.079498E+00,+1.339E-03,+133.891E-03
+395.251E-03,-66.946E-03,+3.079498E+00,-669E-06,+100.418E-03
+403.001E-03,+0.0E+00,+3.079498E+00,+669E-06,+133.891E-03
+410.751E-03,-0.0E+00,+3.046025E+00,+2.678E-03,+133.891E-03
+418.501E-03,-66.946E-03,+3.046025E+00,-0.0E+00,+133.891E-03
+426.251E-03,+0.0E+00,+3.046025E+00,-669E-06,+100.418E-03
+434.001E-03,+0.0E+00,+3.012552E+00,+669E-06,+200.837E-03
+441.751E-03,+0.0E+00,+3.046025E+00,+0.0E+00,+167.364E-03
+449.501E-03,+0.0E+00,+3.012552E+00,+0.0E+00,+167.364E-03
+457.251E-03,+0.0E+00,+3.046025E+00,+669E-06,+167.364E-03
+465.001E-03,+0.0E+00,+3.012552E+00,-2.008E-03,+200.837E-03
+472.751E-03,+0.0E+00,+3.012552E+00,-1.339E-03,+167.364E-03
+480.501E-03,+0.0E+00,+2.979079E+00,-2.008E-03,+66.946E-03
+488.251E-03,-0.0E+00,+3.012552E+00,+0.0E+00,+66.946E-03
+496.001E-03,-66.946E-03,+2.979079E+00,-0.0E+00,+100.418E-03
+503.751E-03,+0.0E+00,+2.878661E+00,-4.686E-03,+1.606695E+00
+511.501E-03,+0.0E+00,+2.811715E+00,-3.347E-03,+1.640167E+00
+519.251E-03,-0.0E+00,+2.744770E+00,-2.678E-03,+1.573222E+00
+527.001E-03,-66.946E-03,+2.644351E+00,-3.347E-03,+1.673640E+00
+534.751E-03,+0.0E+00,+2.577406E+00,-2.678E-03,+1.606695E+00
+542.501E-03,+0.0E+00,+2.577406E+00,-669E-06,+1.606695E+00
+550.251E-03,+0.0E+00,+2.443515E+00,-2.678E-03,+1.606695E+00
+558.001E-03,-0.0E+00,+2.376569E+00,-4.017E-03,+1.573222E+00
+565.751E-03,-66.946E-03,+2.476987E+00,-2.678E-03,+0.0E+00
+573.501E-03,+0.0E+00,+2.476987E+00,-0.0E+00,-0.0E+00
+581.251E-03,-0.0E+00,+2.443515E+00,-669E-06,-33.473E-03
+589.001E-03,-66.946E-03,+2.443515E+00,+0.0E+00,-33.473E-03
+596.751E-03,+0.0E+00,+2.476987E+00,+669E-06,-33.473E-03
+604.501E-03,-0.0E+00,+2.476987E+00,-1.339E-03,-0.0E+00
+612.251E-03,-66.946E-03,+2.476987E+00,-669E-06,-33.473E-03
+620.001E-03,-66.946E-03,+2.476987E+00,+1.339E-03,-33.473E-03
+627.751E-03,+0.0E+00,+2.476987E+00,-2.678E-03,-33.473E-03
+635.501E-03,+0.0E+00,+2.476987E+00,-0.0E+00,-33.473E-03
+643.251E-03,+0.0E+00,+2.443515E+00,-2.008E-03,-33.473E-03
+651.001E-03,-0.0E+00,+2.476987E+00,-0.0E+00,-33.473E-03
+658.751E-03,-66.946E-03,+2.476987E+00,-2.008E-03,-0.0E+00
+666.501E-03,+0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+674.251E-03,-0.0E+00,+2.476987E+00,-1.339E-03,-33.473E-03
+682.001E-03,-66.946E-03,+2.476987E+00,-669E-06,+0.0E+00
+689.751E-03,+0.0E+00,+2.510460E+00,-2.008E-03,-0.0E+00
+697.501E-03,+0.0E+00,+2.476987E+00,+669E-06,-33.473E-03
+705.251E-03,-0.0E+00,+2.476987E+00,+669E-06,+33.473E-03
+713.001E-03,-66.946E-03,+2.476987E+00,+669E-06,-33.473E-03
+720.751E-03,-66.946E-03,+2.510460E+00,-3.347E-03,-33.473E-03
+728.501E-03,+66.946E-03,+2.476987E+00,-669E-06,+33.473E-03
+736.251E-03,-66.946E-03,+2.476987E+00,+669E-06,-0.0E+00
+744.001E-03,-0.0E+00,+2.476987E+00,-1.339E-03,-33.473E-03
+751.752E-03,-66.946E-03,+2.476987E+00,+669E-06,-0.0E+00
+759.502E-03,-66.946E-03,+2.476987E+00,-1.339E-03,-33.473E-03
+767.252E-03,-66.946E-03,+2.476987E+00,-1.339E-03,+33.473E-03
+775.002E-03,-66.946E-03,+2.443515E+00,-2.008E-03,-0.0E+00
+782.752E-03,+0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+790.502E-03,+0.0E+00,+2.476987E+00,-0.0E+00,+33.473E-03
+798.252E-03,+0.0E+00,+2.510460E+00,-3.347E-03,-33.473E-03
+806.002E-03,+0.0E+00,+2.476987E+00,+669E-06,-33.473E-03
+813.752E-03,+0.0E+00,+2.476987E+00,+669E-06,-33.473E-03
+821.502E-03,+0.0E+00,+2.476987E+00,-1.339E-03,+0.0E+00
+829.252E-03,-0.0E+00,+2.476987E+00,+2.008E-03,+0.0E+00
+837.002E-03,-66.946E-03,+2.510460E+00,+669E-06,+33.473E-03
+844.752E-03,-0.0E+00,+2.476987E+00,-669E-06,-66.946E-03
+852.502E-03,-66.946E-03,+2.510460E+00,-1.339E-03,-33.473E-03
+860.252E-03,-0.0E+00,+2.476987E+00,+669E-06,-33.473E-03
+868.002E-03,-66.946E-03,+2.476987E+00,-2.678E-03,-33.473E-03
+875.752E-03,+0.0E+00,+2.476987E+00,-0.0E+00,-0.0E+00
+883.502E-03,+0.0E+00,+2.443515E+00,-1.339E-03,-33.473E-03
+891.252E-03,+0.0E+00,+2.476987E+00,-1.339E-03,-33.473E-03
+899.002E-03,-0.0E+00,+2.443515E+00,-1.339E-03,-33.473E-03
+906.752E-03,-66.946E-03,+2.510460E+00,-2.678E-03,-0.0E+00
+914.502E-03,+0.0E+00,+2.476987E+00,-2.008E-03,-33.473E-03
+922.252E-03,+66.946E-03,+2.510460E+00,+0.0E+00,+0.0E+00
+930.002E-03,+0.0E+00,+2.476987E+00,+2.008E-03,+0.0E+00
+937.752E-03,+0.0E+00,+2.443515E+00,-669E-06,-0.0E+00
+945.502E-03,-0.0E+00,+2.476987E+00,+669E-06,-33.473E-03
+953.252E-03,-66.946E-03,+2.476987E+00,+0.0E+00,-33.473E-03
+961.002E-03,-66.946E-03,+2.443515E+00,+669E-06,-33.473E-03
+968.752E-03,+0.0E+00,+2.476987E+00,-669E-06,-33.473E-03
+976.502E-03,+0.0E+00,+2.476987E+00,-2.008E-03,-33.473E-03
+984.252E-03,+0.0E+00,+2.443515E+00,-2.008E-03,-66.946E-03
+992.002E-03,+0.0E+00,+2.476987E+00,+0.0E+00,+33.473E-03
+999.752E-03,+0.0E+00,+2.476987E+00,+1.339E-03,+0.0E+00
+1.007502E+00,+0.0E+00,+2.476987E+00,-669E-06,+0.0E+00
+1.015252E+00,+0.0E+00,+2.476987E+00,+0.0E+00,+0.0E+00
+1.023002E+00,+0.0E+00,+2.476987E+00,+669E-06,-0.0E+00
+1.030752E+00,+0.0E+00,+2.476987E+00,+1.339E-03,-33.473E-03
